region_name,genre,demand_index,recommendation_rank
광주광역시 서구,클래식 기악,0.6020859319059307,1
광주광역시 서구,무용,0.15378600233142248,2
광주광역시 서구,뮤지컬,0.143698166517907,3
대구광역시 군위군,클래식 기악,0.6494000278717631,1
대구광역시 군위군,뮤지컬,0.12213016028886818,2
대구광역시 군위군,무용,0.12012897124391568,3
대구광역시 남구,클래식 기악,0.6149605938422104,1
대구광역시 남구,무용,0.14384137972271271,2
대구광역시 남구,뮤지컬,0.13887676931566056,3
대구광역시 달서구,클래식 기악,0.605240144864678,1
대구광역시 달서구,무용,0.15173720519289416,2
대구광역시 달서구,뮤지컬,0.14187154841048896,3
대구광역시 달성군,클래식 기악,0.5965329882008535,1
대구광역시 달성군,무용,0.15852828496029292,2
대구광역시 달성군,뮤지컬,0.1454749041807119,3
대구광역시 동구,클래식 기악,0.6087687802452415,1
대구광역시 동구,무용,0.14891042532864215,2
대구광역시 동구,뮤지컬,0.14094296924281985,3
대구광역시 북구,클래식 기악,0.6049464501125198,1
대구광역시 북구,무용,0.15185365503628986,2
대구광역시 북구,뮤지컬,0.14212701529876204,3
대구광역시 서구,클래식 기악,0.6172455854140921,1
대구광역시 서구,무용,0.14260087616666967,2
대구광역시 서구,뮤지컬,0.1370834466123612,3
대구광역시 수성구,클래식 기악,0.6026932366797683,1
대구광역시 수성구,무용,0.15424093043295733,2
대구광역시 수성구,뮤지컬,0.14245329591487474,3
대구광역시 중구,클래식 기악,0.594987348274403,1
대구광역시 중구,무용,0.15821643725509082,2
대구광역시 중구,뮤지컬,0.14835977003508513,3
대전광역시 대덕구,클래식 기악,0.6092806147411106,1
대전광역시 대덕구,무용,0.14857069786467206,2
대전광역시 대덕구,뮤지컬,0.14018803255717502,3
대전광역시 동구,클래식 기악,0.6091887994705243,1
대전광역시 동구,무용,0.1485800144323922,2
대전광역시 동구,뮤지컬,0.14080298194735086,3
대전광역시 서구,클래식 기악,0.5978302668336277,1
대전광역시 서구,무용,0.1566625713032419,2
대전광역시 서구,뮤지컬,0.14599844394162026,3
대전광역시 유성구,클래식 기악,0.5904128121542939,1
대전광역시 유성구,무용,0.16210634372917773,2
대전광역시 유성구,뮤지컬,0.14931847642695492,3
대전광역시 중구,클래식 기악,0.6090623070805895,1
대전광역시 중구,무용,0.14886467789108013,2
대전광역시 중구,뮤지컬,0.14060741072937777,3
부산광역시 강서구,클래식 기악,0.584347490785646,1
부산광역시 강서구,무용,0.16751948045155393,2
부산광역시 강서구,뮤지컬,0.15131077014491554,3
부산광역시 금정구,클래식 기악,0.6171685443573092,1
부산광역시 금정구,무용,0.1426676140876463,2
부산광역시 금정구,뮤지컬,0.13737305969875327,3
부산광역시 기장군,클래식 기악,0.5990917419488865,1
부산광역시 기장군,무용,0.15681620287806397,2
부산광역시 기장군,뮤지컬,0.14435510850379576,3
부산광역시 남구,클래식 기악,0.6098798340665201,1
부산광역시 남구,무용,0.14821331845377383,2
부산광역시 남구,뮤지컬,0.1404089000188368,3
부산광역시 동구,클래식 기악,0.6175753339887823,1
부산광역시 동구,무용,0.1420650225707126,2
부산광역시 동구,뮤지컬,0.13764060625642516,3
부산광역시 동래구,클래식 기악,0.6049531909723758,1
부산광역시 동래구,무용,0.15218970425278408,2
부산광역시 동래구,뮤지컬,0.14211645253531555,3
부산광역시 부산진구,클래식 기악,0.6067413994543787,1
부산광역시 부산진구,무용,0.14958473230473196,2
부산광역시 부산진구,뮤지컬,0.1428792078006367,3
부산광역시 북구,클래식 기악,0.611828732081009,1
부산광역시 북구,무용,0.1468236671772624,2
부산광역시 북구,뮤지컬,0.1391205438841117,3
부산광역시 사상구,클래식 기악,0.6146052807819762,1
부산광역시 사상구,무용,0.1443346324384703,2
부산광역시 사상구,뮤지컬,0.1383751337105643,3
부산광역시 사하구,클래식 기악,0.6133254446368241,1
부산광역시 사하구,무용,0.14568190187182958,2
부산광역시 사하구,뮤지컬,0.13861345381972803,3
부산광역시 서구,클래식 기악,0.6194747061668414,1
부산광역시 서구,무용,0.1411555811360567,2
부산광역시 서구,뮤지컬,0.13624507108536066,3
부산광역시 수영구,클래식 기악,0.6108462037697903,1
부산광역시 수영구,무용,0.14679218680223285,2
부산광역시 수영구,뮤지컬,0.1408875349426441,3
부산광역시 연제구,클래식 기악,0.6060453339229606,1
부산광역시 연제구,무용,0.1508359468873215,2
부산광역시 연제구,뮤지컬,0.14230217136791345,3
부산광역시 영도구,클래식 기악,0.6256778488230741,1
부산광역시 영도구,무용,0.13685317593670568,2
