RNUM,TITLE,PERIOD,RELATION,URL,DESCRIPTION,VIEWCOUNT
23,뉴코리아 스트링 콰르텟 신년음악회,20150117~20150117,"10대 이하 : 0건, 20대 : 4건, 30대 : 12건, 40대 : 7건, 50대 : 7건, 60대 : 6건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=24457,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
24,Trio The Rim 창단연주회,20150117~20150117,"10대 이하 : 0건, 20대 : 2건, 30대 : 3건, 40대 : 13건, 50대 : 1건, 60대 : 7건, 70대 이상 : 3건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22042,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
25,천혜진 귀국 첼로 독주회,20150118~20150118,"10대 이하 : 0건, 20대 : 0건, 30대 : 10건, 40대 : 4건, 50대 : 5건, 60대 : 8건, 70대 이상 : 5건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22046,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
26,김진경 바이올린 독주회,20150118~20150118,"10대 이하 : 0건, 20대 : 0건, 30대 : 1건, 40대 : 0건, 50대 : 3건, 60대 : 0건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22292,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
27,김지연 귀국 비올라 독주회,20150118~20150118,"10대 이하 : 0건, 20대 : 2건, 30대 : 0건, 40대 : 5건, 50대 : 0건, 60대 : 0건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22044,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
28,김수지 귀국 오보에 독주회,20150118~20150118,"10대 이하 : 0건, 20대 : 0건, 30대 : 1건, 40대 : 2건, 50대 : 1건, 60대 : 3건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22290,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
29,관객의 선택! 정명훈과 서울시향 10년,20150118~20150118,"10대 이하 : 0건, 20대 : 24건, 30대 : 311건, 40대 : 621건, 50대 : 617건, 60대 : 267건, 70대 이상 : 125건 )",https://www.sac.or.kr/site/main/show/show_view?SN=21474,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
30,비엔나 왈츠 오케스트라,20150119~20150119,"10대 이하 : 2건, 20대 : 18건, 30대 : 75건, 40대 : 34건, 50대 : 63건, 60대 : 126건, 70대 이상 : 88건 )",https://www.sac.or.kr/site/main/show/show_view?SN=23985,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
31,강혜정 귀국 피아노 독주회,20150119~20150119,"10대 이하 : 0건, 20대 : 3건, 30대 : 9건, 40대 : 2건, 50대 : 3건, 60대 : 7건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22048,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
32,2015 음악춘추 우수신인 데뷔 연주회,20150119~20150119,"10대 이하 : 0건, 20대 : 1건, 30대 : 9건, 40대 : 3건, 50대 : 0건, 60대 : 0건, 70대 이상 : 2건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22294,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
33,힐러리 한 바이올린 리사이틀,20150120~20150120,"10대 이하 : 2건, 20대 : 136건, 30대 : 160건, 40대 : 188건, 50대 : 559건, 60대 : 203건, 70대 이상 : 48건 )",https://www.sac.or.kr/site/main/show/show_view?SN=21478,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
34,이용진 귀국 클라리넷 독주회,20150120~20150120,"10대 이하 : 0건, 20대 : 2건, 30대 : 5건, 40대 : 0건, 50대 : 1건, 60대 : 0건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22050,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
35,발밤Art 프로젝트 I,20150120~20150120,"10대 이하 : 0건, 20대 : 0건, 30대 : 4건, 40대 : 4건, 50대 : 3건, 60대 : 0건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22296,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
36,최은영 피아노 독주회,20150121~20150121,"10대 이하 : 0건, 20대 : 0건, 30대 : 1건, 40대 : 8건, 50대 : 0건, 60대 : 2건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22298,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
37,이 베아띠 제 15회 정기연주회,20150121~20150121,"10대 이하 : 0건, 20대 : 1건, 30대 : 1건, 40대 : 4건, 50대 : 3건, 60대 : 0건, 70대 이상 : 1건 )",https://www.sac.or.kr/site/main/show/show_view?SN=23885,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
38,빈 슈트라우스 페스티벌 오케스트라 신년음악회,20150121~20150121,"10대 이하 : 3건, 20대 : 22건, 30대 : 133건, 40대 : 104건, 50대 : 128건, 60대 : 181건, 70대 이상 : 235건 )",https://www.sac.or.kr/site/main/show/show_view?SN=21480,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
39,코리안심포니 194회 정기연주회,20150122~20150122,"10대 이하 : 3건, 20대 : 51건, 30대 : 264건, 40대 : 236건, 50대 : 345건, 60대 : 358건, 70대 이상 : 244건 )",https://www.sac.or.kr/site/main/show/show_view?SN=21482,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
